Building,Building Type,Area (SF),Month,Fiscal Year,Start Date,End Date,Days,Electricity Usage (kWh),Electricity Cost ($),Electricity Generated (kWh),Natural Gas Start Date,Natural Gas End Date,Days2,Natural Gas Use (therms), Natural Gas Cost ($) ,Total Cost,Electricity Use (kBtu),Natural Gas Use (kBtu),Total kBtu
Harwood,Residential,"56,928",May,2021-22,4/15/2022,5/15/2022,30,"21,408","$3,307.49 ",,4/11/2022,5/10/2022,29,538,$907.89 ,"$4,215.38 ","73,047.09","53,787.09","126,834.18"
Harwood,Residential,"56,928",June,2021-22,5/15/2022,6/15/2022,31,"13,164","$2,400.83 ",,5/10/2022,6/9/2022,30,290,$611.26 ,"$3,012.09 ","44,917.41","28,993.04","73,910.45"
Harwood,Residential,"56,928",July,2022-23,6/16/2022,7/15/2022,30,"15,445","$3,187.54 ",,6/9/2022,7/11/2022,32,171,$398.97 ,"$3,586.51 ","52,700.50","17,095.90","69,796.40"
Harwood,Residential,"56,928",August,2022-23,7/15/2022,8/15/2022,31,"16,011","$3,742.40 ",,7/11/2022,8/9/2022,29,109,$245.73 ,"$3,988.13 ","54,631.77","10,897.38","65,529.16"
Harwood,Residential,"56,928",September,2022-23,8/15/2022,9/15/2022,31,"34,320","$7,855.38 ",,8/9/2022,9/8/2022,30,246,$574.32 ,"$8,429.70 ","117,104.64","24,594.10","141,698.74"
Harwood,Residential,"56,928",October,2022-23,9/15/2022,10/15/2022,30,"33,827","$6,489.67 ",,9/8/2022,10/7/2022,29,274,$602.71 ,"$7,092.38 ","115,422.46","27,393.42","142,815.88"
Harwood,Residential,"56,928",November,2022-23,10/15/2022,11/17/2022,33,"19,013","$3,060.32 ",,10/7/2022,11/7/2022,31,542,$923.80 ,"$3,984.12 ","64,875.02","54,186.99","119,062.01"
Harwood,Residential,"56,928",December,2022-23,11/17/2022,12/20/2022,33,"24,637","$3,528.55 ",,11/7/2022,12/8/2022,31,482,$887.74 ,"$4,416.29 ","84,064.89","48,188.43","132,253.33"
Harwood,Residential,"56,928",January,2022-23,12/20/2022,1/18/2023,29,"16,777","$2,851.64 ",,12/8/2022,1/9/2023,32,258,$808.91 ,"$3,660.55 ","57,245.47","25,793.81","83,039.28"
Harwood,Residential,"56,928",February,2022-23,1/18/2023,2/15/2023,28,"22,246","$3,807.39 ",,1/9/2023,2/7/2023,29,510,"$2,109.31 ","$5,916.70 ","75,906.47","50,987.76","126,894.23"
Harwood,Residential,"56,928",March,2022-23,2/15/2023,3/17/2023,30,"22,910","$3,620.99 ",,2/7/2023,3/9/2023,30,663,"$1,343.54 ","$4,964.53 ","78,172.13","66,284.09","144,456.22"
Harwood,Residential,"56,928",April,2022-23,3/17/2023,4/17/2023,31,"24,455","$4,220.24 ",,3/9/2023,4/7/2023,29,586,$939.47 ,"$5,159.71 ","83,443.88","58,585.94","142,029.82"
Harwood,Residential,"56,928",May,2022-23,4/17/2023,5/16/2023,29,"23,309","$4,152.32 ",,4/7/2023,5/8/2023,31,667,$953.85 ,"$5,106.17 ","79,533.57","66,683.99","146,217.56"
Harwood,Residential,"56,928",June,2022-23,5/16/2023,6/15/2023,30,"13,490","$2,428.20 ",,5/8/2023,6/7/2023,30,370,$578.12 ,"$3,006.32 ","46,029.77","36,991.12","83,020.89"
Harwood,Residential,"56,928",August,2023-24,7/18/2023,8/16/2023,30,"14,722","$3,667.76 ",,7/7/2023,8/7/2023,32,113,$207.74 ,"$3,875.50 ","50,233.53","11,297.29","61,530.81"
Harwood,Residential,"56,928",September,2023-24,8/16/2023,9/15/2023,30,"38,927","$9,643.74 ",,8/7/2023,9/6/2023,30,317,$546.24 ,"$10,189.98 ","132,824.37","31,692.39","164,516.77"
Harwood,Residential,"56,928",October,2023-24,9/15/2023,10/16/2023,31,"33,307","$7,060.06 ",,9/6/2023,10/6/2023,30,529,$770.09 ,"$7,830.15 ","113,648.15","52,887.30","166,535.45"
Harwood,Residential,"56,928",November,2023-24,10/16/2023,11/15/2023,30,"28,318","$5,233.44 ",,10/6/2023,11/7/2023,32,591,$835.10 ,"$6,068.54 ","96,624.98","59,085.82","155,710.80"
Harwood,Residential,"56,928",December,2023-24,11/15/2023,12/15/2023,30,"23,923","$4,258.87 ",,11/7/2023,12/7/2023,30,565,$916.87 ,"$5,175.74 ","81,628.63","56,486.44","138,115.07"
Harwood,Residential,"56,928",January,2023-24,12/15/2023,1/16/2024,32,"16,791","$3,064.80 ",,12/7/2023,1/8/2024,32,351,$621.26 ,"$3,686.06 ","57,293.24","35,091.58","92,384.82"
Harwood,Residential,"56,928",February,2023-24,1/16/2024,2/14/2024,29,"22,530","$3,865.04 ",,1/8/2024,2/6/2024,29,539,$886.64 ,"$4,751.68 ","76,875.51","53,887.06","130,762.58"
Harwood,Residential,"56,928",March,2023-24,2/14/2024,3/15/2024,30,"23,833","$4,224.97 ",,2/6/2024,3/7/2024,30,660,"$1,067.03 ","$5,292.00 ","81,321.53","65,984.16","147,305.69"
Harwood,Residential,"56,928",April,2023-24,3/15/2024,4/16/2024,32,"25,517","$4,264.27 ",,3/7/2024,4/5/2024,29,532,$826.70 ,"$5,090.97 ","87,067.58","53,187.23","140,254.81"
Harwood,Residential,"56,928",May,2023-24,4/16/2024,5/15/2024,29,"24,258","$4,160.87 ",,4/5/2024,5/6/2024,31,497,$697.57 ,"$4,858.44 ","82,771.69","49,688.07","132,459.76"
Harwood,Residential,"56,928",June,2023-24,5/15/2024,6/14/2024,30,"15,032","$3,291.63 ",,5/6/2024,6/5/2024,30,142,$241.09 ,"$3,532.72 ","51,291.29","14,196.59","65,487.88"
Harwood,Residential,"56,928",July,2023-24,6/15/2023,7/18/2023,34,"14,117","$2,964.57 ",,6/7/2023,7/7/2023,31,180,$324.09 ,"$3,288.66 ","48,169.18","17,995.68","66,164.86"
Harwood,Residential,"56,928",July,2024-25,6/14/2024,7/17/2024,34,"16,276","$3,725.60 ",,6/5/2024,7/5/2024,31,82,$147.55 ,"$3,873.15 ","55,535.99","8,198.03","63,734.02"
Harwood,Residential,"56,928",August,2024-25,7/17/2024,8/15/2024,29,"14,862","$3,603.03 ",,7/5/2024,8/6/2024,32,103,$186.42 ,"$3,789.45 ","50,711.22","10,297.53","61,008.75"
Harwood,Residential,"56,928",September,2024-25,8/15/2024,9/16/2024,32,"40,539","$9,765.71 ",,8/6/2024,9/5/2024,30,210,$362.24 ,"$10,127.95 ","138,324.74","20,994.96","159,319.70"
Harwood,Residential,"56,928",October,2024-25,9/16/2024,10/15/2024,29,"30,735","$6,270.13 ",,9/5/2024,10/7/2024,32,398,$606.66 ,"$6,876.79 ","104,872.12","39,790.45","144,662.57"
Harwood,Residential,"56,928",November,2024-25,10/15/2024,11/14/2024,30,"22,766","$3,901.12 ",,10/7/2024,11/6/2024,30,290,$498.93 ,"$4,400.05 ","77,680.78","28,993.04","106,673.82"
Harwood,Residential,"56,928",December,2024-25,11/14/2024,12/13/2024,29,"20,097","$3,510.99 ",,11/6/2024,12/9/2024,33,220,$409.54 ,"$3,920.53 ","68,573.78","21,994.72","90,568.50"
Harwood,Residential,"56,928",January,2024-25,12/13/2024,1/16/2025,34,"16,201","$2,488.68 ",,12/9/2024,1/8/2025,30,102,$200.42 ,"$2,689.10 ","55,280.08","10,197.55","65,477.63"
Harwood,Residential,"56,928",February,2024-25,1/16/2025,2/14/2025,29,"19,331","$3,445.55 ",,1/8/2025,2/6/2025,29,121,$250.24 ,"$3,695.79 ","65,960.08","12,097.10","78,057.17"
Harwood,Residential,"56,928",March,2024-25,,,1,,,,2/6/2025,3/10/2025,32,94,$236.63 ,$236.63 , -    ,"9,397.74","9,397.74"
Harwood,Residential,"56,928",April,2024-25,,,0,,,,,,1,,, $-   , -    , -    , -    
Harwood,Residential,"56,928",May,2024-25,,,0,,,,,,0,,, $-   , -    , -    , -    
Harwood,Residential,"56,928",June,2024-25,,,0,,,,,,0,,, $-   , -    , -    , -    
Ice House,Facilities,,July,2010-11,6/15/2010,7/15/2010,31,,,,6/15/2010,7/15/2010,30,,, $-   , -    , -    , -    
Ice House,Facilities,,August,2010-11,7/15/2010,8/15/2010,32,,,,7/15/2010,8/15/2010,31,,, $-   , -    , -    , -    
Ice House,Facilities,,September,2010-11,8/15/2010,9/15/2010,32,,,,8/15/2010,9/15/2010,31,,, $-   , -    , -    , -    
Ice House,Facilities,,October,2010-11,9/15/2010,10/15/2010,30,,,,9/15/2010,10/15/2010,30,,, $-   , -    , -    , -    
Ice House,Facilities,,November,2010-11,10/15/2010,11/15/2010,31,,,,10/15/2010,11/15/2010,31,,, $-   , -    , -    , -    
Ice House,Facilities,,December,2010-11,11/15/2010,12/15/2010,30,,,,11/15/2010,12/15/2010,30,,, $-   , -    , -    , -    
Ice House,Facilities,,January,2010-11,12/15/2010,1/15/2011,31,,,,12/15/2010,1/15/2011,31,,, $-   , -    , -    , -    
Ice House,Facilities,,February,2010-11,1/15/2011,2/15/2011,31,,,,1/15/2011,2/15/2011,31,,, $-   , -    , -    , -    
Ice House,Facilities,,March,2010-11,2/15/2011,3/15/2011,28,,,,2/15/2011,3/15/2011,28,,, $-   , -    , -    , -    
Ice House,Facilities,,April,2010-11,3/15/2011,4/15/2011,31,,,,3/15/2011,4/15/2011,31,,, $-   , -    , -    , -    
Ice House,Facilities,,May,2010-11,4/15/2011,5/15/2011,30,,,,4/15/2011,5/15/2011,30,,, $-   , -    , -    , -    
Ice House,Facilities,,June,2010-11,5/15/2011,6/15/2011,31,,,,5/15/2011,6/15/2011,31,,, $-   , -    , -    , -    
Ice House,Facilities,,July,2011-12,6/15/2011,7/15/2011,30,,,,6/15/2011,7/15/2011,30,,, $-   , -    , -    , -    
Ice House,Facilities,,August,2011-12,7/15/2011,8/15/2011,31,,,,7/15/2011,8/15/2011,31,,, $-   , -    , -    , -    
Ice House,Facilities,,September,2011-12,8/15/2011,9/15/2011,31,,,,8/15/2011,9/15/2011,31,,, $-   , -    , -    , -    
Ice House,Facilities,,October,2011-12,9/15/2011,10/15/2011,30,,,,9/15/2011,10/15/2011,30,,, $-   , -    , -    , -    
Ice House,Facilities,,November,2011-12,10/15/2011,11/15/2011,31,,,,10/15/2011,11/15/2011,31,,, $-   , -    , -    , -    
Ice House,Facilities,,December,2011-12,11/15/2011,12/15/2011,30,,,,11/15/2011,12/15/2011,30,,, $-   , -    , -    , -    
Ice House,Facilities,,January,2011-12,12/15/2011,1/15/2012,31,,,,12/15/2011,1/15/2012,31,,, $-   , -    , -    , -    
Ice House,Facilities,,February,2011-12,1/15/2012,2/15/2012,31,,,,1/15/2012,2/15/2012,31,,, $-   , -    , -    , -    
Ice House,Facilities,,March,2011-12,2/15/2012,3/15/2012,29,,,,2/15/2012,3/15/2012,29,,, $-   , -    , -    , -    
Ice House,Facilities,,April,2011-12,3/15/2012,4/15/2012,31,,,,3/15/2012,4/15/2012,31,,, $-   , -    , -    , -    
Ice House,Facilities,,May,2011-12,4/15/2012,5/15/2012,30,,,,4/15/2012,5/15/2012,30,,, $-   , -    , -    , -    
Ice House,Facilities,,June,2011-12,5/15/2012,6/15/2012,31,,,,5/15/2012,6/15/2012,31,,, $-   , -    , -    , -    
Ice House,Facilities,,July,2012-13,6/15/2012,7/15/2012,30,,,,6/15/2012,7/15/2012,30,,, $-   , -    , -    , -    
Ice House,Facilities,,August,2012-13,7/15/2012,8/15/2012,31,,,,7/15/2012,8/15/2012,31,,, $-   , -    , -    , -    
Ice House,Facilities,,September,2012-13,8/15/2012,9/15/2012,31,,,,8/15/2012,9/15/2012,31,,, $-   , -    , -    , -    
Ice House,Facilities,,October,2012-13,9/15/2012,10/15/2012,30,,,,9/15/2012,10/15/2012,30,,, $-   , -    , -    , -    
Ice House,Facilities,,November,2012-13,10/15/2012,11/15/2012,31,,,,10/15/2012,11/15/2012,31,,, $-   , -    , -    , -    
Ice House,Facilities,,December,2012-13,11/15/2012,12/15/2012,30,,,,11/15/2012,12/15/2012,30,,, $-   , -    , -    , -    
Ice House,Facilities,,January,2012-13,12/15/2012,1/15/2013,31,,,,12/15/2012,1/15/2013,31,,, $-   , -    , -    , -    
Ice House,Facilities,,February,2012-13,1/15/2013,2/15/2013,31,,,,1/15/2013,2/15/2013,31,,, $-   , -    , -    , -    
Ice House,Facilities,,March,2012-13,2/15/2013,3/15/2013,28,,,,2/15/2013,3/15/2013,28,,, $-   , -    , -    , -    
Ice House,Facilities,,April,2012-13,3/15/2013,4/15/2013,31,,,,3/15/2013,4/15/2013,31,,, $-   , -    , -    , -    
Ice House,Facilities,,May,2012-13,4/15/2013,5/15/2013,30,,,,4/15/2013,5/15/2013,30,,, $-   , -    , -    , -    
Ice House,Facilities,,June,2012-13,5/15/2013,6/15/2013,31,,,,5/15/2013,6/15/2013,31,,, $-   , -    , -    , -    
Ice House,Facilities,,July,2013-14,6/15/2013,7/15/2013,30,,,,6/15/2013,7/15/2013,30,,, $-   , -    , -    , -    
Ice House,Facilities,,August,2013-14,7/15/2013,8/15/2013,31,,,,7/15/2013,8/15/2013,31,,, $-   , -    , -    , -    
Ice House,Facilities,,September,2013-14,8/15/2013,9/15/2013,31,,,,8/15/2013,9/15/2013,31,,, $-   , -    , -    , -    
Ice House,Facilities,,October,2013-14,9/15/2013,10/15/2013,30,,,,9/15/2013,10/15/2013,30,,, $-   , -    , -    , -    
Ice House,Facilities,,November,2013-14,10/15/2013,11/15/2013,31,,,,10/15/2013,11/15/2013,31,,, $-   , -    , -    , -    
Ice House,Facilities,,December,2013-14,11/15/2013,12/15/2013,30,,,,11/15/2013,12/15/2013,30,,, $-   , -    , -    , -    
Ice House,Facilities,,January,2013-14,12/15/2013,1/15/2014,31,,,,12/15/2013,1/15/2014,31,,, $-   , -    , -    , -    
Ice House,Facilities,,February,2013-14,1/15/2014,2/15/2014,31,,,,1/15/2014,2/15/2014,31,,, $-   , -    , -    , -    
Ice House,Facilities,,March,2013-14,2/15/2014,3/15/2014,28,,,,2/15/2014,3/15/2014,28,,, $-   , -    , -    , -    
Ice House,Facilities,,April,2013-14,3/15/2014,4/15/2014,31,,,,3/15/2014,4/15/2014,31,,, $-   , -    , -    , -    
Ice House,Facilities,,May,2013-14,4/15/2014,5/15/2014,30,,,,4/15/2014,5/15/2014,30,,, $-   , -    , -    , -    
Ice House,Facilities,,June,2013-14,5/15/2014,6/15/2014,31,,,,5/15/2014,6/15/2014,31,,, $-   , -    , -    , -    
Ice House,Facilities,,July,2014-15,6/15/2014,7/15/2014,30,,,,6/15/2014,7/15/2014,30,,, $-   , -    , -    , -    
Ice House,Facilities,,August,2014-15,7/15/2014,8/15/2014,31,,,,7/15/2014,8/15/2014,31,,, $-   , -    , -    , -    
Ice House,Facilities,,September,2014-15,8/15/2014,9/15/2014,31,,,,8/15/2014,9/15/2014,31,,, $-   , -    , -    , -    
Ice House,Facilities,,October,2014-15,9/15/2014,10/15/2014,30,"24,823",,,9/15/2014,10/15/2014,30,,, $-   ,"84,699.55", -    ,"84,699.55"
Ice House,Facilities,,November,2014-15,10/15/2014,11/15/2014,31,"27,792",,,10/15/2014,11/15/2014,31,,, $-   ,"94,830.19", -    ,"94,830.19"
Ice House,Facilities,,December,2014-15,11/15/2014,12/15/2014,30,"28,310",,,11/15/2014,12/15/2014,30,,, $-   ,"96,597.68", -    ,"96,597.68"
Ice House,Facilities,,January,2014-15,12/15/2014,1/15/2015,31,"23,421",,,12/15/2014,1/15/2015,31,,, $-   ,"79,915.73", -    ,"79,915.73"
Ice House,Facilities,,February,2014-15,1/15/2015,2/15/2015,31,"24,052",,,1/15/2015,2/15/2015,31,,, $-   ,"82,068.79", -    ,"82,068.79"
Ice House,Facilities,,March,2014-15,2/15/2015,3/15/2015,28,"49,784",,,2/15/2015,3/15/2015,28,,, $-   ,"169,869.98", -    ,"169,869.98"
Ice House,Facilities,,April,2014-15,3/15/2015,4/15/2015,31,"53,057",,,3/15/2015,4/15/2015,31,,, $-   ,"181,037.91", -    ,"181,037.91"
Ice House,Facilities,,May,2014-15,4/15/2015,5/15/2015,30,"47,565",,,4/15/2015,5/15/2015,30,,, $-   ,"162,298.44", -    ,"162,298.44"
Ice House,Facilities,,June,2014-15,5/15/2015,6/15/2015,31,"52,327",,,5/15/2015,6/15/2015,31,,, $-   ,"178,547.05", -    ,"178,547.05"
Ice House,Facilities,,July,2015-16,6/15/2015,7/15/2015,30,"24,068",,,6/15/2015,7/15/2015,30,,, $-   ,"82,123.39", -    ,"82,123.39"
Ice House,Facilities,,August,2015-16,7/15/2015,8/15/2015,31,"21,158",,,7/15/2015,8/15/2015,31,,, $-   ,"72,194.06", -    ,"72,194.06"
Ice House,Facilities,,September,2015-16,8/15/2015,9/15/2015,31,"29,314",,,8/15/2015,9/15/2015,31,,, $-   ,"100,023.47", -    ,"100,023.47"
Ice House,Facilities,,October,2015-16,9/15/2015,10/15/2015,30,"29,341",,,9/15/2015,10/15/2015,30,,, $-   ,"100,115.60", -    ,"100,115.60"
Ice House,Facilities,,November,2015-16,10/15/2015,11/15/2015,31,"11,727",,,10/15/2015,11/15/2015,31,,, $-   ,"40,014.17", -    ,"40,014.17"
Ice House,Facilities,,December,2015-16,11/15/2015,12/15/2015,30,"9,728",,,11/15/2015,12/15/2015,30,,, $-   ,"33,193.30", -    ,"33,193.30"
Ice House,Facilities,,January,2015-16,12/15/2015,1/15/2016,31,"6,580",,,12/15/2015,1/15/2016,31,,, $-   ,"22,451.88", -    ,"22,451.88"
Ice House,Facilities,,February,2015-16,1/15/2016,2/15/2016,31,"20,981",,,1/15/2016,2/15/2016,31,,, $-   ,"71,590.11", -    ,"71,590.11"
Ice House,Facilities,,March,2015-16,2/15/2016,3/15/2016,29,"17,421",,,2/15/2016,3/15/2016,29,,, $-   ,"59,442.89", -    ,"59,442.89"
Ice House,Facilities,,April,2015-16,3/15/2016,4/15/2016,31,"19,898",,,3/15/2016,4/15/2016,31,,, $-   ,"67,894.76", -    ,"67,894.76"
Ice House,Facilities,,May,2015-16,4/15/2016,5/15/2016,30,"19,596",,,4/15/2016,5/15/2016,30,,, $-   ,"66,864.30", -    ,"66,864.30"
Ice House,Facilities,,June,2015-16,5/15/2016,6/15/2016,31,"22,831",,,5/15/2016,6/15/2016,31,,, $-   ,"77,902.57", -    ,"77,902.57"
Ice House,Facilities,,July,2016-17,6/15/2016,7/15/2016,30,"33,005","$3,232.33 ",,6/15/2016,7/15/2016,30,,,"$3,232.33 ","112,617.68", -    ,"112,617.68"
Ice House,Facilities,,August,2016-17,7/15/2016,8/15/2016,31,"38,651","$3,803.70 ",,7/15/2016,8/15/2016,31,,,"$3,803.70 ","131,882.62", -    ,"131,882.62"
Ice House,Facilities,,September,2016-17,8/15/2016,9/15/2016,31,"36,545","$3,445.91 ",,8/15/2016,9/15/2016,31,,,"$3,445.91 ","124,696.66", -    ,"124,696.66"
Ice House,Facilities,,October,2016-17,9/15/2016,10/15/2016,30,"31,194","$3,382.53 ",,9/15/2016,10/15/2016,30,,,"$3,382.53 ","106,438.30", -    ,"106,438.30"
Ice House,Facilities,,November,2016-17,10/15/2016,11/15/2016,31,"28,007","$2,590.33 ",,10/15/2016,11/15/2016,31,,,"$2,590.33 ","95,563.80", -    ,"95,563.80"
Ice House,Facilities,,December,2016-17,11/15/2016,12/15/2016,30,"35,858","$3,174.39 ",,11/15/2016,12/15/2016,30,,,"$3,174.39 ","122,352.52", -    ,"122,352.52"
Ice House,Facilities,,January,2016-17,12/15/2016,1/15/2017,31,"17,333","$1,631.30 ",,12/15/2016,1/15/2017,31,,,"$1,631.30 ","59,142.62", -    ,"59,142.62"
Ice House,Facilities,,February,2016-17,1/15/2017,2/15/2017,31,"31,633","$3,351.14 ",,1/15/2017,2/15/2017,31,,,"$3,351.14 ","107,936.22", -    ,"107,936.22"
Ice House,Facilities,,March,2016-17,2/15/2017,3/15/2017,28,"23,561","$2,300.32 ",,2/15/2017,3/15/2017,28,,,"$2,300.32 ","80,393.43", -    ,"80,393.43"
Ice House,Facilities,,April,2016-17,3/15/2017,4/15/2017,31,"23,983","$2,731.35 ",,3/15/2017,4/15/2017,31,,,"$2,731.35 ","81,833.35", -    ,"81,833.35"
Ice House,Facilities,,May,2016-17,4/15/2017,5/15/2017,30,"27,754","$3,003.48 ",,4/15/2017,5/15/2017,30,,,"$3,003.48 ","94,700.53", -    ,"94,700.53"
Ice House,Facilities,,June,2016-17,5/15/2017,6/15/2017,31,"34,335","$3,800.64 ",,5/15/2017,6/15/2017,31,,,"$3,800.64 ","117,155.83", -    ,"117,155.83"
Ice House,Facilities,,July,2017-18,6/15/2017,7/15/2017,30,"34,625","$3,948.04 ",,6/15/2017,7/15/2017,30,,,"$3,948.04 ","118,145.35", -    ,"118,145.35"
Ice House,Facilities,,August,2017-18,7/15/2017,8/15/2017,31,"54,158","$5,382.57 ",,7/15/2017,8/15/2017,31,,,"$5,382.57 ","184,794.68", -    ,"184,794.68"
Ice House,Facilities,,September,2017-18,8/15/2017,9/15/2017,31,"39,610","$5,914.12 ",,8/15/2017,9/15/2017,31,,,"$5,914.12 ","135,154.87", -    ,"135,154.87"
Ice House,Facilities,,October,2017-18,9/15/2017,10/15/2017,30,"41,481","$3,857.04 ",,9/15/2017,10/15/2017,30,,,"$3,857.04 ","141,538.98", -    ,"141,538.98"
Ice House,Facilities,,November,2017-18,10/15/2017,11/15/2017,31,"34,186","$3,443.55 ",,10/15/2017,11/15/2017,31,,,"$3,443.55 ","116,647.42", -    ,"116,647.42"
Ice House,Facilities,,December,2017-18,11/15/2017,12/15/2017,30,"33,452","$3,214.84 ",,11/15/2017,12/15/2017,30,,,"$3,214.84 ","114,142.91", -    ,"114,142.91"
Ice House,Facilities,,January,2017-18,12/15/2017,1/15/2018,31,"29,785","$2,848.65 ",,12/15/2017,1/15/2018,31,,,"$2,848.65 ","101,630.59", -    ,"101,630.59"
Ice House,Facilities,,February,2017-18,1/15/2018,2/15/2018,31,"28,183","$2,943.94 ",,1/15/2018,2/15/2018,31,,,"$2,943.94 ","96,164.34", -    ,"96,164.34"
Ice House,Facilities,,March,2017-18,2/15/2018,3/15/2018,28,"29,664","$3,156.74 ",,2/15/2018,3/15/2018,28,,,"$3,156.74 ","101,217.72", -    ,"101,217.72"
Ice House,Facilities,,April,2017-18,3/15/2018,4/15/2018,31,"33,314","$3,350.11 ",,3/15/2018,4/15/2018,31,,,"$3,350.11 ","113,672.03", -    ,"113,672.03"
Ice House,Facilities,,May,2017-18,4/15/2018,5/15/2018,30,"22,351","$2,127.68 ",,4/15/2018,5/15/2018,30,,,"$2,127.68 ","76,264.74", -    ,"76,264.74"
Ice House,Facilities,,June,2017-18,5/15/2018,6/15/2018,31,"31,314","$3,795.43 ",,5/15/2018,6/15/2018,31,,,"$3,795.43 ","106,847.75", -    ,"106,847.75"
Ice House,Facilities,,July,2018-19,6/15/2018,7/15/2018,30,"25,928","$4,581.64 ",,6/15/2018,7/15/2018,30,,,"$4,581.64 ","88,469.97", -    ,"88,469.97"
Ice House,Facilities,,August,2018-19,7/15/2018,8/15/2018,31,"27,087","$4,910.37 ",,7/15/2018,8/15/2018,31,,,"$4,910.37 ","92,424.64", -    ,"92,424.64"
Ice House,Facilities,,September,2018-19,8/15/2018,9/15/2018,31,"32,792","$3,759.94 ",,8/15/2018,9/15/2018,31,,,"$3,759.94 ","111,890.89", -    ,"111,890.89"
Ice House,Facilities,,October,2018-19,9/15/2018,10/15/2018,30,"33,299","$3,349.03 ",,9/15/2018,10/15/2018,30,,,"$3,349.03 ","113,620.85", -    ,"113,620.85"
Ice House,Facilities,,November,2018-19,10/15/2018,11/15/2018,31,"26,632","$2,675.44 ",,10/15/2018,11/15/2018,31,,,"$2,675.44 ","90,872.11", -    ,"90,872.11"
Ice House,Facilities,,December,2018-19,11/15/2018,12/15/2018,30,"24,775","$2,347.36 ",,11/15/2018,12/15/2018,30,,,"$2,347.36 ","84,535.77", -    ,"84,535.77"
Ice House,Facilities,,January,2018-19,12/15/2018,1/15/2019,31,"27,088","$2,303.89 ",,12/15/2018,1/15/2019,31,,,"$2,303.89 ","92,428.05", -    ,"92,428.05"
Ice House,Facilities,,February,2018-19,1/15/2019,2/15/2019,31,"37,984","$2,622.74 ",,1/15/2019,2/15/2019,31,,,"$2,622.74 ","129,606.73", -    ,"129,606.73"
Ice House,Facilities,,March,2018-19,2/15/2019,3/15/2019,28,"35,568","$1,081.49 ",,2/15/2019,3/15/2019,28,,,"$1,081.49 ","121,363.00", -    ,"121,363.00"
Ice House,Facilities,,April,2018-19,3/15/2019,4/15/2019,31,"33,988","$2,135.15 ",,3/15/2019,4/15/2019,31,,,"$2,135.15 ","115,971.81", -    ,"115,971.81"
Ice House,Facilities,,May,2018-19,4/15/2019,5/15/2019,30,"14,019","$2,291.40 ",,4/15/2019,5/15/2019,30,,,"$2,291.40 ","47,834.79", -    ,"47,834.79"
Ice House,Facilities,,June,2018-19,5/15/2019,6/15/2019,31,"25,904","$2,724.09 ",,5/15/2019,6/15/2019,31,,,"$2,724.09 ","88,388.07", -    ,"88,388.07"
Ice House,Facilities,,July,2019-20,6/15/2019,7/15/2019,30,"25,904","$3,608.91 ",,6/15/2019,7/15/2019,30,,,"$3,608.91 ","88,388.07", -    ,"88,388.07"
Ice House,Facilities,,August,2019-20,7/15/2019,8/15/2019,31,"26,202","$3,652.30 ",,7/15/2019,8/15/2019,31,,,"$3,652.30 ","89,404.89", -    ,"89,404.89"
Ice House,Facilities,,September,2019-20,8/15/2019,9/15/2019,31,,,,8/15/2019,9/15/2019,31,,, $-   , -    , -    , -    
Ice House,Facilities,,October,2019-20,9/15/2019,10/15/2019,30,"346,932","$41,557.18 ",,9/15/2019,10/15/2019,30,,,"$41,557.18 ","1,183,780.55", -    ,"1,183,780.55"
Ice House,Facilities,,November,2019-20,10/15/2019,11/15/2019,31,"339,078","$25,483.48 ",,10/15/2019,11/15/2019,31,,,"$25,483.48 ","1,156,981.61", -    ,"1,156,981.61"
Ice House,Facilities,,December,2019-20,11/15/2019,12/15/2019,30,"275,870","$25,455.46 ",,11/15/2019,12/15/2019,30,,,"$25,455.46 ","941,307.06", -    ,"941,307.06"
Ice House,Facilities,,January,2019-20,12/15/2019,1/15/2020,31,"311,976","$24,769.75 ",,12/15/2019,1/15/2020,31,,,"$24,769.75 ","1,064,505.79", -    ,"1,064,505.79"
Ice House,Facilities,,February,2019-20,1/15/2020,2/15/2020,31,"221,812","$19,298.77 ",,1/15/2020,2/15/2020,31,,,"$19,298.77 ","756,853.60", -    ,"756,853.60"
Ice House,Facilities,,March,2019-20,2/15/2020,3/15/2020,29,"260,816","$25,446.28 ",,2/15/2020,3/15/2020,29,,,"$25,446.28 ","889,940.71", -    ,"889,940.71"
Ice House,Facilities,,April,2019-20,3/15/2020,4/15/2020,31,"31,096","$2,293.12 ",,3/15/2020,4/15/2020,31,,,"$2,293.12 ","106,103.91", -    ,"106,103.91"
Ice House,Facilities,,May,2019-20,4/15/2020,5/15/2020,30,"554,364","$50,296.71 ",,4/15/2020,5/15/2020,30,,,"$50,296.71 ","1,891,567.58", -    ,"1,891,567.58"
Ice House,Facilities,,June,2019-20,5/15/2020,6/15/2020,31,"293,644","$27,550.62 ",,5/15/2020,6/15/2020,31,,,"$27,550.62 ","1,001,954.44", -    ,"1,001,954.44"
Ice House,Facilities,,July,2020-21,6/15/2020,7/15/2020,30,"355,176","$45,945.92 ",,6/15/2020,7/15/2020,30,,,"$45,945.92 ","1,211,910.24", -    ,"1,211,910.24"
Ice House,Facilities,,August,2020-21,7/15/2020,8/15/2020,31,"414,218","$70,158.62 ",,7/15/2020,8/15/2020,31,,,"$70,158.62 ","1,413,369.81", -    ,"1,413,369.81"
